materialSampleID,principalInvestigator,locality,phylum,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,georeferenceProtocol,yearCollected,monthCollected,dayCollected,genus,species,permitInformation,basisOfIdentification,country,lifeStage,sex,geneticTissueType,stateProvince,island,islandGroup,establishmentMeans,habitat,microHabitat,substratum,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,associatedTaxa,wormsID,weight,length,class,order,family,subSpecies,vernacularName,taxonRemarks,sampleOwnerInstitutionCode,fundingSource,occurrenceID,catalogNumber,associatedSequences,recordedBy,identifiedBy,yearIdentified,monthIdentified,dayIdentified,preservative,samplingProtocol,plateID,wellID,extractionID,previousTissueID,tissueStorageID,associatedMedia,associatedReferences,previousIdentifications,occurrenceRemarks,fieldNotes,eventRemarks,bcid
LDH_48,Cynthia Riginos,Lord Howe Island,Chordata,-31.52348,159.070477,,"""Google Earth, can't be 100% sure of reef location""",,,,Pomacentrus,coelestis,New South Wales permits to D G Booth and W Figueira: F94/696; F86/556A,Morphology,Australia,,,,New South Wales,,,,,,,,,,,,277145,,,,,,,,,UQ,,LDH_48,,KJ779209,Liggins,David Booth,,,,EtOH,,,,,,,,Liggins et al. in prep.,,,,,ark:/21547/qR2LDH_48
1427,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010121; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1427,,KJ779143,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21427
MTB_12,Cynthia Riginos,Moreton Bay,Chordata,-27.19234,153.253332,,"""Google Earth, can't be 100% sure of reef location""",,,,Pomacentrus,coelestis,""" QLD Fisheries: 118636, 150981 """,Morphology,Australia,,,,Queensland,,,,,,,,,,,,277145,,,,,,,,,UQ,,MTB_12,,KJ779256,Liggins,David Harris,,,,EtOH,,,,,,,,Liggins et al. in prep.,,,,,ark:/21547/qR2MTB_12
1828,Cynthia Riginos,Wingram Island,Chordata,-11.77439,136.53316,,GPS,2010,9,19,Pomacentrus,coelestis,2007-2008/S17/2696; NT Fisheries,Morphology,Australia,adult,,,"""Wessel Island, NT""",,,,,,,3,3,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1828,,KJ779157,Treml,Treml,2010,9,19,DMSO,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""fish was frozen in field, transferred to DMSO 3 days later. DNA in whole fish probably no good.""",ark:/21547/qR21828
1608,Cynthia Riginos,East of Dili,Chordata,-8.471265,125.887245,,google earth,2010,8,3,Pomacentrus,coelestis,"""Minist?rio da Aquicultura e Pescas, Direc??o Nacional de Pescas e Aquicultura (authorised by A Fernandes, L Fontes, J Freitas; guia de marssa: 502/DNPA/VIII/10 and 452/DNPA/VII/11). Export of samples was authorised by the Departmento de Quarentena das Pescas (export permit: 162/FQ006/EXP./DNQB/VII/2011)""",Morphology,Timor L'este,adult,,,Timor Leste,,,,,,,3,3,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1608,,KJ779950; KJ779359,Liggins,Liggins,2010,8,3,DMSO,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21608
2437,Cynthia Riginos,Male Male Island,Chordata,-8.788563889,158.2522389,,google earth,2010,12,16,Pomacentrus,coelestis,The Research Act 1982 (No. 9 of 1982) Research Permit; Solomon Islands Minister for Education and Human Resources Development,Morphology,Solomon Islands,adult,,,Marovo Lagoon,,,,,,,3,3,,,,277145,,,,,,,,,UQ,"""ARC_DP0878306, The Explorers Club Exploration Fund to Liggins""",2437,,KJ779320,Liggins/Keyse,Liggins/Keyse,2010,12,16,DMSO,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,photo,ark:/21547/qR22437
SWT_4,Cynthia Riginos,South West Rocks,Chordata,-30.875376,153.056505,,"""Google Earth, can't be 100% sure of reef location""",,,,Pomacentrus,coelestis,New South Wales permits to D G Booth and W Figueira: F94/696; F86/556A,Morphology,Australia,,,,New South Wales,,,,,,,,,,,,277145,,,,,,,,,UQ,,SWT_4,,KJ779339,Liggins,David Harris,,,,EtOH,,,,,,,,Liggins et al. in prep.,,,,,ark:/21547/qR2SWT_4
2206,Cynthia Riginos,Ndoke Ndoke island,Chordata,-8.338566667,157.5027,,Handheld GPS,2010,12,11,Pomacentrus,coelestis,The Research Act 1982 (No. 9 of 1982) Research Permit; Solomon Islands Minister for Education and Human Resources Development,Morphology,Solomon Islands,adult,,,Roviana Lagoon,,,,,,,2,2,,,,277145,,,,,,,,,UQ,"""ARC_DP0878306, The Explorers Club Exploration Fund to Liggins""",2206,,KJ779311,Liggins/Keyse,Liggins/Keyse,2010,12,11,DMSO,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,photo-head only kept,ark:/21547/qR22206
SRK_5,Cynthia Riginos,Seal Rocks,Chordata,-32.42,152.57,,"""Google Earth, can't be 100% sure of reef location""",,,,Pomacentrus,coelestis,New South Wales permits to D G Booth and W Figueira: F94/696; F86/556A,Morphology,Australia,,,,New South Wales,,,,,,,,,,,,277145,,,,,,,,,UQ,,SRK_5,,KJ779335,Liggins,David Harris,,,,EtOH,,,,,,,,Liggins et al. in prep.,,,,,ark:/21547/qR2SRK_5
JVB_103,Cynthia Riginos,Jervis Bay,Chordata,-35.10698,150.777035,,"""Google Earth, can't be 100% sure of reef location""",,,,Pomacentrus,coelestis,New South Wales permits to D G Booth and W Figueira: F94/696; F86/556A,Morphology,Australia,,,,New South Wales,,,,,,,,,,,,277145,,,,,,,,,UQ,,JVB_103,,KJ779872; KJ779169,Liggins,David Booth,,,,EtOH,,,,,,,,Liggins et al. in prep.,,,,,ark:/21547/qR2JVB_103
2683,Cynthia Riginos,Lizard Island,Chordata,-14.68743611,145.4542417,,Google Earth,2011,1,31,Pomacentrus,coelestis,G10/33597.1 & 118636; GBRMPA & QLD Fisheries,Morphology,Australia,adult,,,Great Barrier Reef,,,,,,,2,2,,,,277145,,,,,,,,,UQ,"""ARC_DP0878306, The Great Barrier Reef Marine Park Authority's Science for Management Award to Liggins, Ecological Society of Australia Student Research Grant to Liggins """,2683,,KJ779112,Liggins,Liggins,2011,1,31,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,photo,ark:/21547/qR22683
3868,Cynthia Riginos,Kavieng,Chordata,-2.58,150.7702667,,"""Google Earth, not 100% sure of reef patch location""",2011,11,25,Pomacentrus,coelestis,research visa no. 10350008304; Dept Env & Conservation/Nat Research Institute,Morphology,Papua New Guinea,adult,,,New Ireland Province,,,,,,,3,3,,,,277145,,,,,,,,,UQ,ARC_DP0878306,3868,,KJ779177,Keyse,Keyse,2011,11,25,DMSO & 40% alcohol,muscle and frame,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,,ark:/21547/qR23868
1426,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010120; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1426,,KJ779142,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21426
860,Cynthia Riginos,Ningaloo Marine Park,Chordata,-23.0409,113.8202,,GPS,2009,6,9,Pomacentrus,coelestis,SF006619/CE002227; WA-DEC,Morphology,Australia,adult,,,Western Australia,,,,,,,3.5,3.5,,,,277145,,,,,,,,,UQ,ARC_DP0878306,860,,KJ779117,Treml/Riginos,Treml/Riginos,2009,6,9,DMSO,whole,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,,ark:/21547/qR2860
SYD_75,Cynthia Riginos,Sydney,Chordata,-33.884749,151.297628,,"""Google Earth, can't be 100% sure of reef location""",,,,Pomacentrus,coelestis,New South Wales permits to D G Booth and W Figueira: F94/696; F86/556A,Morphology,Australia,,,,New South Wales,,,,,,,,,,,,277145,,,,,,,,,UQ,,SYD_75,,KJ779946; KJ779349,Liggins,David Booth,,,,EtOH,,,,,,,,Liggins et al. in prep.,,,,,ark:/21547/qR2SYD_75
JVB_105,Cynthia Riginos,Jervis Bay,Chordata,-35.10698,150.777035,,"""Google Earth, can't be 100% sure of reef location""",,,,Pomacentrus,coelestis,New South Wales permits to D G Booth and W Figueira: F94/696; F86/556A,Morphology,Australia,,,,New South Wales,,,,,,,,,,,,277145,,,,,,,,,UQ,,JVB_105,,KJ779171,Liggins,David Booth,,,,EtOH,,,,,,,,Liggins et al. in prep.,,,,,ark:/21547/qR2JVB_105
1301,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2010,5,10,Pomacentrus,coelestis,"""AU-COM2010068; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,3,3,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1301,,KJ779122,Liggins,Liggins,2010,5,10,EtOH,whole,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish in vial""",ark:/21547/qR21301
2436,Cynthia Riginos,Male Male Island,Chordata,-8.788563889,158.2522389,,google earth,2010,12,16,Pomacentrus,coelestis,The Research Act 1982 (No. 9 of 1982) Research Permit; Solomon Islands Minister for Education and Human Resources Development,Morphology,Solomon Islands,adult,,,Marovo Lagoon,,,,,,,3,3,,,,277145,,,,,,,,,UQ,"""ARC_DP0878306, The Explorers Club Exploration Fund to Liggins""",2436,,KJ779319,Liggins/Keyse,Liggins/Keyse,2010,12,16,DMSO,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,photo - whole fish in vial,ark:/21547/qR22436
3873,Cynthia Riginos,Kavieng,Chordata,-2.58,150.7702667,,"""Google Earth, not 100% sure of reef patch location""",2011,11,25,Pomacentrus,coelestis,research visa no. 10350008304; Dept Env & Conservation/Nat Research Institute,Morphology,Papua New Guinea,adult,,,New Ireland Province,,,,,,,3,3,,,,277145,,,,,,,,,UQ,ARC_DP0878306,3873,,KJ779182,Keyse,Keyse,2011,11,25,DMSO & 40% alcohol,muscle and frame,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,,ark:/21547/qR23873
