# BEAST v1.8.4
# Generated Fri Oct 27 13:24:33 PDT 2017 [seed=1509135872645]
# -beagle_off demo1.xml
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	clock.rate	meanRate	treeLikelihood	branchRates	skyline
10000	-2195.891721698941	-1108.9576340439119	-1086.9340876550295	0.009111664002037872	0.08430106596189957	0.045867123410964196	0.021976232443873887	0.01510914924212371	0.025049100268302663	1.0	1.0	1.0	4.0	2.0	1.1951925915590593	1.0	1.0	-1086.9340876550295	0.0	31.20099619084933
11000	-2181.5634615588842	-1100.0868758433699	-1081.4765857155144	0.010334504081100851	0.08571323002686011	0.03766002759659403	0.022236012635270325	0.004246939397449839	0.005967809743634565	1.0	1.0	1.0	4.0	2.0	0.5324661658203313	1.0	1.0	-1081.4765857155144	0.0	37.73372924542794
12000	-2180.246134372296	-1097.513655721329	-1082.7324786509669	0.00918651348210346	0.08091522437825587	0.017456294097020462	0.037765974868070325	0.0018082809896621008	0.004008374269984274	1.0	1.0	1.0	4.0	2.0	0.5152045797779112	1.0	1.0	-1082.7324786509669	0.0	41.118232728543425
13000	-2182.178593297783	-1099.5420066589468	-1082.6365866388364	0.006084472515889553	0.04792454258631529	0.032865516707088135	0.0698212445645959	0.0011932803985961196	0.004380586124980929	1.0	1.0	1.0	4.0	2.0	0.29119973521818043	1.0	1.0	-1082.6365866388364	0.0	40.86946707726703
14000	-2186.8724931843526	-1105.260149066313	-1081.6123441180393	0.008538621654908677	0.028560669585358057	0.07790560940189589	0.0763241992697717	0.00398012187230104	0.0037570289296386433	1.0	1.0	1.0	4.0	2.0	0.35311682189957644	1.0	1.0	-1081.6123441180393	0.0	34.407089506288216
15000	-2187.163275821209	-1099.44315831974	-1087.7201175014688	0.006050871465635671	0.038944951804252455	0.022615429369363355	0.029019993636400183	0.009507479569764794	8.99657531463223E-4	1.0	1.0	1.0	5.0	1.0	0.4256864455552316	1.0	1.0	-1087.7201175014688	0.0	37.04778073978349
16000	-2172.0150831761093	-1091.2452665377084	-1080.7698166384012	0.007357430356716834	0.007344561377076417	0.021433668603532973	0.009855299023139131	0.002238213170756605	0.0031987196130509278	2.0	1.0	1.0	2.0	3.0	0.4476388002482186	1.0	1.0	-1080.7698166384012	0.0	42.06889012043389
17000	-2180.6133647658417	-1097.769881849574	-1082.8434829162677	0.011824257487384462	0.014577853554527046	0.007955034420770245	0.021032460259840444	0.004152769291099716	0.003869941971814753	1.0	2.0	2.0	3.0	1.0	0.20189513284440586	1.0	1.0	-1082.8434829162677	0.0	36.910780583471585
18000	-2178.2434788681885	-1094.9874056431515	-1083.2560732250367	0.008532365260686452	0.010302404743185521	0.008959936295637452	0.010120887063910605	0.00453086824083366	0.004537998374275904	3.0	1.0	3.0	1.0	1.0	0.20323627042312586	1.0	1.0	-1083.2560732250367	0.0	37.598815285698464
19000	-2179.794673305834	-1093.9602106198358	-1085.834462685998	0.008455853378881861	0.01227397487641792	0.008439204736064508	0.005084880145536083	0.0024095058971593027	0.003568110686662789	2.0	1.0	3.0	1.0	2.0	0.3401579266061354	1.0	1.0	-1085.834462685998	0.0	37.13789011826509
