,pop,Continent,Ocean,NMDS
273,Ningalo,Australia,Indian,3
274,Ningalo,Australia,Indian,3
275,Ningalo,Australia,Indian,3
276,Ningalo,Australia,Indian,3
277,Ningalo,Australia,Indian,3
278,Ningalo,Australia,Indian,3
279,Ningalo,Australia,Indian,3
280,Ningalo,Australia,Indian,3
281,Ningalo,Australia,Indian,3
282,Okinosh,Asia,Pacific,2
283,Okinosh,Asia,Pacific,2
284,Okinosh,Asia,Pacific,2
285,Okinosh,Asia,Pacific,2
286,Okinosh,Asia,Pacific,2
287,Okinosh,Asia,Pacific,2
288,Okinosh,Asia,Pacific,2
289,Okinosh,Asia,Pacific,2
290,Okinosh,Asia,Pacific,2
291,Okinosh,Asia,Pacific,2
292,Okinosh,Asia,Pacific,2
293,Okinosh,Asia,Pacific,2
294,Okinosh,Asia,Pacific,2
295,Okinosh,Asia,Pacific,2
296,Okinosh,Asia,Pacific,2
297,Okinosh,Asia,Pacific,2
298,Okinosh,Asia,Pacific,2
299,Okinosh,Asia,Pacific,2
300,Sesoko,Asia,Pacific,1
301,Sesoko,Asia,Pacific,1
302,Sesoko,Asia,Pacific,1
303,Sesoko,Asia,Pacific,1
304,Sesoko,Asia,Pacific,1
305,Sesoko,Asia,Pacific,1
306,Sesoko,Asia,Pacific,1
307,Sesoko,Asia,Pacific,1
308,Sesoko,Asia,Pacific,1
309,Sesoko,Asia,Pacific,1
310,Sesoko,Asia,Pacific,1
311,Taiwan,Asia,Pacific,2
312,Taiwan,Asia,Pacific,2
313,Taiwan,Asia,Pacific,2
314,Taiwan,Asia,Pacific,2
315,Taiwan,Asia,Pacific,2
316,Taiwan,Asia,Pacific,2
317,Taiwan,Asia,Pacific,2
318,Taiwan,Asia,Pacific,2
319,Taiwan,Asia,Pacific,2
320,Taiwan,Asia,Pacific,2
321,Taiwan,Asia,Pacific,2
322,Taiwan,Asia,Pacific,2
323,Taiwan,Asia,Pacific,2
324,Taiwan,Asia,Pacific,2
325,Taiwan,Asia,Pacific,2
326,Taiwan,Asia,Pacific,2
327,Taiwan,Asia,Pacific,2
328,Taiwan,Asia,Pacific,2
329,Taiwan,Asia,Pacific,2
330,Taiwan,Asia,Pacific,2
331,Taiwan,Asia,Pacific,2
332,Taiwan,Asia,Pacific,2
333,Taiwan,Asia,Pacific,2
334,Taiwan,Asia,Pacific,2
335,Taiwan,Asia,Pacific,2
336,Taiwan,Asia,Pacific,2
337,Taiwan,Asia,Pacific,2
338,Taiwan,Asia,Pacific,2
339,Taiwan,Asia,Pacific,2
340,Taiwan,Asia,Pacific,2
341,Taiwan,Asia,Pacific,2
342,Taiwan,Asia,Pacific,2
343,Taiwan,Asia,Pacific,2
344,Taiwan,Asia,Pacific,2
345,Taiwan,Asia,Pacific,2
346,Taiwan,Asia,Pacific,2
347,Taiwan,Asia,Pacific,2
348,Taiwan,Asia,Pacific,2
349,Taiwan,Asia,Pacific,2
350,Taiwan,Asia,Pacific,2
351,Taiwan,Asia,Pacific,2
352,Taiwan,Asia,Pacific,2
353,Taiwan,Asia,Pacific,2
354,Taiwan,Asia,Pacific,2
355,Taiwan,Asia,Pacific,2
356,Taiwan,Asia,Pacific,2
357,Taiwan,Asia,Pacific,2
358,Taiwan,Asia,Pacific,2
359,Taiwan,Asia,Pacific,2
360,Taiwan,Asia,Pacific,2
361,Taiwan,Asia,Pacific,2
362,Taiwan,Asia,Pacific,2
363,Taiwan,Asia,Pacific,2
364,Taiwan,Asia,Pacific,2
365,Taiwan,Asia,Pacific,2
366,Taiwan,Asia,Pacific,2
367,Taiwan,Asia,Pacific,2
368,Taiwan,Asia,Pacific,2
369,Taiwan,Asia,Pacific,2
370,Taiwan,Asia,Pacific,2
371,Taiwan,Asia,Pacific,2
372,Taiwan,Asia,Pacific,2
373,Tanegas,Asia,Pacific,2
374,Tanegas,Asia,Pacific,2
375,Tanegas,Asia,Pacific,2
376,Tanegas,Asia,Pacific,2
377,Tanegas,Asia,Pacific,2
378,Tanegas,Asia,Pacific,2
379,Tanegas,Asia,Pacific,2
380,Tanegas,Asia,Pacific,2
381,Tanegas,Asia,Pacific,2
382,Tanegas,Asia,Pacific,2
383,Tanegas,Asia,Pacific,2
384,Tanegas,Asia,Pacific,2
385,Tanegas,Asia,Pacific,2
386,Tanegas,Asia,Pacific,2
387,Tanegas,Asia,Pacific,2
388,Tanegas,Asia,Pacific,2
389,Tanegas,Asia,Pacific,2
390,Tanegas,Asia,Pacific,2
391,Two,Coral Triangle,Pacific,2
392,Two,Coral Triangle,Pacific,2
393,Two,Coral Triangle,Pacific,2
394,Two,Coral Triangle,Pacific,2
395,Two,Coral Triangle,Pacific,2
396,Two,Coral Triangle,Pacific,2
397,Two,Coral Triangle,Pacific,2
398,Two,Coral Triangle,Pacific,2
399,Wingram,Australia,Pacific,4
400,Wingram,Australia,Pacific,4
401,Wingram,Australia,Pacific,4
402,Wingram,Australia,Pacific,4
403,Wingram,Australia,Pacific,4
404,Wingram,Australia,Pacific,4
405,Wingram,Australia,Pacific,4
406,Wingram,Australia,Pacific,4
407,Wingram,Australia,Pacific,4
408,Wingram,Australia,Pacific,4
409,Wingram,Australia,Pacific,4
410,Wingram,Australia,Pacific,4
411,Wingram,Australia,Pacific,4
412,Wingram,Australia,Pacific,4
413,Wingram,Australia,Pacific,4
414,Wingram,Australia,Pacific,4
